Название;Адрес;Город
Топ Флорс;Ленинградское ш., 58, стр. 7;Химки
Экспериментальный керамический завод;Центральная ул., 2/5, микрорайон Подрезково, Химки;Химки
Визави Керамика;Ленинградское ш., 25;Химки
Отделкино City;МКАД, 71-й километр, с16А, п. г. т. Путилково;Химки
Ватра Керамика;Ленинградское ш., 25;Химки
Italon;Ленинградское ш., 25;Химки
Kerama Marazzi;Дмитровское ш., 149;Химки
Family Плитка;Дмитровское ш., 165, корп. 1;Химки
МаэстроГрупп;Центральная ул., 2/5с1, микрорайон Подрезково, Химки;Химки
Студия плитки;Зеленоград, к1824;Химки
Соло;ул. Бутаково, 4, Химки;Химки
Мосплитка;Ленинградское ш., 25;Химки
Керамический завод Сокол;Керамическая ул., 24, Дедовск;Химки
Tesser;Дмитровское ш., 108Б, стр. 1;Химки
Территория плитки;Волоколамское ш., 103;Химки
Лемана Про;Ленинградское шоссе, 37-й километр, вл1, п. г. т. Ржавки;Химки
КерамикМолл. ру;Спасская ул., 1А, Красногорск;Химки
Sal Sapiente;Ленинградское ш., 25;Химки
Мир плитки СерКо;Успенская ул., 32, Красногорск;Химки
Ceram-Style;ул. Горького, 5, микрорайон Сходня, Химки;Химки
Creto;Вашутинское ш., вл18А, Химки;Химки
Creto;Горетовская ул., 1Б, д. Голиково;Химки
Laparet;МКАД, 71-й километр, 16А, д. Путилково;Химки
Ватра Керамика;Московская область, городской округ Химки, деревня Перепечино;Химки
Керамогранит;Дмитровское ш., 124А;Химки
Laparet;Дмитровское ш., 108Б, стр. 1;Химки
Студия метлахской плитки;Московская область, городской округ Красногорск, Пятницкое шоссе, 6-й километр, 55А;Химки
Лемана Про;посёлок Вешки, торгово-промышленная зона Алтуфьево, с3Б;Химки
Орхидея керамика;Дмитровское ш., 161Б;Химки
Керамический Boom;Ленинградское ш., 25;Химки
Арткерамика М;Советская ул., 99, п. г. т. Нахабино;Химки
Салон плитки;Ново-Никольская ул., 122, стр. 1, Красногорск;Химки
Иксплитка;Белозерская ул., 23Г;Химки
Дом Лента;Пятницкое ш., 1, стр. 1, п. г. т. Отрадное;Химки
Керамикс Студио;Дмитровское ш., 165, корп. 1;Химки
Дом плитки;Шоссейная ул., 136, д. Челобитьево;Химки
Пентакерамика;Дмитровское ш., 163А, корп. 2;Химки
Арткерамика М, склад;ул. Горем-28, 37, рабочий посёлок Нахабино;Химки
Kerama Marazzi;ул. Гоголя, 2;Химки
Керами;Панфиловский просп., 8;Химки
Ватра Керамика;ул. Пришвина, 26;Химки
ЗелКерамик;Московская область, Пятницкое шоссе, 18-й километр, с2;Химки
Керам Маркет;Ярославское ш., 67;Химки
Керамир;Благовещенская ул., 4А, Красногорск;Химки
A style Italon;Заречная ул., 11/2, микрорайон Новогорск, Химки;Химки
Neodom;Машкинское ш., с1, Химки;Химки
Просто Керамика;ул. Вахнеевка, 11А, д. Брёхово;Химки
Плитка-мир;Волоколамское ш., 103;Химки
Ленплитка;Ленинградское ш., 25;Химки
